"","FNID","date","V","IPC","chirps_mean","chirps_min","chirps_max","EFF_YEAR","COUNTRY","ADMIN2","ADMIN3","chirps_mean_w.sum","chirps_max_w.sum","chirps_min_w.sum","price_mean","FNID_OLD.y","price_w"
"5390","MW2012C3030716","2015-02","V32",NA,164.999185,138.6642456,201.3321228,2012,"MW","Thyolo",NA,460.203462167817,561.540591598414,386.752006708449,113.944,"10922716",157.484610786543
"5391","MW2012C3030716","2015-03","V32",NA,184.9105889,121.7497787,223.6738586,2012,"MW","Thyolo",NA,515.738869881509,623.85450039741,339.575432908384,112.65376,"10922716",155.90475365864
"5392","MW2012C3030716","2015-04","V32"," 1",52.38143141,31.52507401,70.17767334,2012,"MW","Thyolo",NA,146.098394899272,195.734350069366,87.9273931231762,117.97664,"10922716",163.306591858707
"5393","MW2012C3030716","2015-05","V32",NA,29.12169946,16.60228348,47.78286743,2012,"MW","Thyolo",NA,81.2240794747117,133.272422064338,46.3058550100569,119.57626,"10922716",165.29029274995
"5394","MW2012C3030716","2015-06","V32"," 1",15.80571368,8.154857635,27.60251236,2012,"MW","Thyolo",NA,44.0841217341118,76.9868757388224,22.744922752877,131.59604,"10922716",178.338572847918
"5395","MW2012C3030716","2015-07","V32"," 2",22.31555659,10.65603352,32.50747681,2012,"MW","Thyolo",NA,62.2408916924035,90.6674379894788,29.7210166152052,135.34984,"10922716",182.249494984582
"5396","MW2012C3030716","2015-08","V32",NA,15.1706638,7.004461765,25.43168449,2012,"MW","Thyolo",NA,42.3128878130154,70.9321640046742,19.5363241029045,148.63986,"10922716",206.138179950577
"5397","MW2012C3030716","2015-09","V32",NA,14.81547049,7.230303288,27.19805527,2012,"MW","Thyolo",NA,41.322209034809,75.8587940872899,20.1662244917207,155.76598,"10922716",216.215491394368
"5398","MW2012C3030716","2015-10","V32"," 2",12.71171737,7.26473999,17.58573151,2012,"MW","Thyolo",NA,35.4545772075952,49.048815154182,20.262272781208,NA,"10922716",NA
"5399","MW2012C3030716","2015-11","V32",NA,52.87283429,43.03668213,66.00161743,2012,"MW","Thyolo",NA,147.468979285463,184.086805337625,120.034714816572,NA,"10922716",NA
"5400","MW2012C3030716","2015-12","V32",NA,151.9516099,131.521286,166.3576508,2012,"MW","Thyolo",NA,423.812135544509,463.992394000399,366.829394738912,NA,"10922716",NA
"5401","MW2012C3030716","2016-01","V32",NA,141.4280139,118.4839706,168.2640228,2012,"MW","Thyolo",NA,394.460503815811,469.309505079341,330.466683708225,NA,"10922716",NA
"5402","MW2012C3030716","2016-02","V32"," 1",163.1720496,121.6599197,184.2366028,2012,"MW","Thyolo",NA,455.107351923822,513.859037949775,339.324804864937,NA,"10922716",NA
"5403","MW2012C3030716","2016-03","V32",NA,169.4955233,147.5993347,203.4659729,2012,"MW","Thyolo",NA,472.744314734682,567.492167685091,411.673093067741,NA,"10922716",NA
"5404","MW2012C3030716","2016-04","V32"," 1",50.35528352,26.67346001,80.56515503,2012,"MW","Thyolo",NA,140.447213811062,224.706341882191,74.3956319820418,NA,"10922716",NA
"5405","MW2012C3030716","2016-05","V32",NA,33.45689453,19.33471298,55.01715851,2012,"MW","Thyolo",NA,93.3154833224753,153.449769009087,53.9269442659189,NA,"10922716",NA
"5406","MW2012C3030716","2016-06","V32",NA,17.60769519,9.418210983,31.02999496,2012,"MW","Thyolo",NA,49.1100746178451,86.5465554368764,26.2685740041902,NA,"10922716",NA
"5407","MW2012C3030716","2016-07","V32",NA,28.33299518,14.04521847,40.84293365,2012,"MW","Thyolo",NA,NA,NA,NA,NA,NA,NA
"5408","MW2012C3030804","2007-12","V53",NA,283.4314126,238.5267944,362.2191162,2012,"MW","Mulanje",NA,714.936709122297,913.673401764696,601.667824541714,NA,"10921504",NA
"5409","MW2012C3030804","2008-01","V53",NA,356.3277538,325.1702576,418.7376404,2012,"MW","Mulanje",NA,898.812835647957,1056.23758449,820.22014335116,NA,"10921504",NA
"5410","MW2012C3030804","2008-02","V53",NA,93.54223592,77.2731781,120.6760712,2012,"MW","Mulanje",NA,235.954009822362,304.397287591037,194.916403751626,NA,"10921504",NA
"5411","MW2012C3030804","2008-03","V53",NA,130.1421777,98.30368042,178.3415833,2012,"MW","Mulanje",NA,328.274905697052,449.854670287037,247.964433897349,28.512,"10921504",26.3653342468425
"5412","MW2012C3030804","2008-04","V53",NA,16.20796232,8.190406799,30.84543037,2012,"MW","Mulanje",NA,40.883496773847,77.8055271922558,20.6597512588128,27.5654166666667,"10921504",31.0508539907417
"5413","MW2012C3030804","2008-05","V53",NA,12.33635065,3.414863586,21.1774826,2012,"MW","Mulanje",NA,31.11761627049,53.4187780339868,8.61376412685038,26.8393666666667,"10921504",31.3152782599324
"5414","MW2012C3030804","2008-06","V53",NA,15.74930306,5.513304234,29.59303284,2012,"MW","Mulanje",NA,39.7265595841938,74.6464385069281,13.9069397752632,28.515285,"10921504",25.5478469940826
"5415","MW2012C3030804","2008-07","V53",NA,11.57898547,3.863123417,19.86601639,2012,"MW","Mulanje",NA,29.2072134523056,50.1106925691419,9.74446945505314,45.4914283333333,"10921504",51.3405120371471
"5416","MW2012C3030804","2008-08","V53",NA,7.267964234,3.343928337,14.130373,2012,"MW","Mulanje",NA,18.3329518200147,35.6429172003871,8.43483472373442,44.4642383333333,"10921504",46.0925990287723
"5417","MW2012C3030804","2008-09","V53",NA,5.600450361,2.166758299,11.51077271,2012,"MW","Mulanje",NA,14.1267600297601,29.0351513449083,5.46550233631544,33.3532133333333,"10921504",34.3266265473181
